Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
0909.HK,MING YUAN CLOUD,Information Technology,HKG,HKD,9.49,18.48082432
0981.HK,SMIC,Information Technology,HKG,HKD,17.2,201.20387584
0992.HK,LENOVO GROUP,Information Technology,HKG,HKD,7.47,89.951502336
1024.HK,KUAISHOU-W,Information Technology,HKG,HKD,79.9,339.368869888
1137.HK,HK TECH VENTURE,Information Technology,HKG,HKD,6.42,5.887184896
1347.HK,HUA HONG SEMI,Information Technology,HKG,HKD,29.7,38.645346304
1357.HK,MEITU,Information Technology,HKG,HKD,0.94,4.147148288
1686.HK,SUNEVISION,Information Technology,HKG,HKD,6.43,15.035526144
1810.HK,XIAOMI-W,Information Technology,HKG,HKD,11.96,298.313515008
1909.HK,FIRE ROCK,Information Technology,HKG,HKD,0.56,2.1504
2038.HK,FIH,Information Technology,HKG,HKD,0.99,7.893270016
2342.HK,COMBA,Information Technology,HKG,HKD,1.3,3.590950912
2400.HK,XD INC,Information Technology,HKG,HKD,22.8,10.761440256
2518.HK,AUTOHOME-S,Information Technology,HKG,HKD,71.5,35.905871872
3396.HK,LEGENDHOLDING,Information Technology,HKG,HKD,9.29,21.889376256
3690.HK,MEITUAN-W,Information Technology,HKG,HKD,180.2,1113.947635712
3738.HK,VOBILE GROUP,Information Technology,HKG,HKD,4.04,8.555103744
3888.HK,KINGSOFT,Information Technology,HKG,HKD,26.45,36.023578624
3969.HK,CHINA CRSC,Information Technology,HKG,HKD,2.83,52.546592768
6088.HK,FIT HON TENG,Information Technology,HKG,HKD,1.11,7.918196224
6608.HK,BAIRONG-W,Information Technology,HKG,HKD,9.0,4.483727872
9618.HK,JD-SW,Information Technology,HKG,HKD,221.4,691.542884352
9626.HK,BILIBILI-SW,Information Technology,HKG,HKD,182.0,71.090110464
9698.HK,GDS-SW,Information Technology,HKG,HKD,27.35,41.693159424
9888.HK,BIDU-SW,Information Technology,HKG,HKD,139.1,384.528089088
9898.HK,WB-SW,Information Technology,HKG,HKD,173.2,40.972537856
9923.HK,YEAHKA,Information Technology,HKG,HKD,19.0,8.110378496
9959.HK,LINKLOGIS-W,Information Technology,HKG,HKD,6.81,15.65448704
9988.HK,BABA-SW,Information Technology,HKG,HKD,92.3,1975.220174848
9990.HK,ARCHOSAUR GAMES,Information Technology,HKG,HKD,6.61,5.349559296
9991.HK,BAOZUN-SW,Information Technology,HKG,HKD,23.35,4.735776768
9999.HK,NTES-S,Information Technology,HKG,HKD,160.3,526.423621632
0004.HK,WHARF HOLDINGS,Properties & Construction,HKG,HKD,25.65,78.387167232
0012.HK,HENDERSON LAND,Properties & Construction,HKG,HKD,32.45,157.09044736
0014.HK,HYSAN DEV,Properties & Construction,HKG,HKD,23.75,24.46867456
0016.HK,SHK PPT,Properties & Construction,HKG,HKD,96.1,278.497787904
0017.HK,NEW WORLD DEV,Properties & Construction,HKG,HKD,29.1,73.233932288
0059.HK,SKYFAME REALTY,Properties & Construction,HKG,HKD,0.088,0.743276992
0081.HK,CH OVS G OCEANS,Properties & Construction,HKG,HKD,4.03,13.796141056
0083.HK,SINO LAND,Properties & Construction,HKG,HKD,11.14,85.980307456
0095.HK,LVGEM CHINA,Properties & Construction,HKG,HKD,0.87,4.434998784
0101.HK,HANG LUNG PPT,Properties & Construction,HKG,HKD,13.82,62.17617408
0119.HK,POLY PROPERTY,Properties & Construction,HKG,HKD,1.85,6.869734912
0123.HK,YUEXIU PROPERTY,Properties & Construction,HKG,HKD,8.76,27.124989952
0173.HK,K. WAH INT'L,Properties & Construction,HKG,HKD,2.97,9.30468352
0185.HK,ZENSUN ENT,Properties & Construction,HKG,HKD,2.95,5.64450048
0272.HK,SHUI ON LAND,Properties & Construction,HKG,HKD,1.03,8.304086016
0337.HK,GREENLAND HK,Properties & Construction,HKG,HKD,1.55,4.32741376
0390.HK,CHINA RAILWAY,Properties & Construction,HKG,HKD,5.43,179.24538368
0405.HK,YUEXIU REIT,Properties & Construction,HKG,HKD,3.11,14.529266688
0410.HK,SOHO CHINA,Properties & Construction,HKG,HKD,1.49,7.74728448
0435.HK,SUNLIGHT REIT,Properties & Construction,HKG,HKD,3.84,6.457765888
0535.HK,GEMDALE PPT,Properties & Construction,HKG,HKD,0.74,12.265721856
0604.HK,SHENZHEN INVEST,Properties & Construction,HKG,HKD,1.68,14.949967872
0683.HK,KERRY PPT,Properties & Construction,HKG,HKD,20.15,29.307570176
0688.HK,CHINA OVERSEAS,Properties & Construction,HKG,HKD,23.05,252.277620736
0743.HK,ASIA CEMENT CH,Properties & Construction,HKG,HKD,4.84,7.58355456
0754.HK,HOPSON DEV HOLD,Properties & Construction,HKG,HKD,12.2,28.968779776
0778.HK,FORTUNE REIT,Properties & Construction,HKG,HKD,6.99,13.825869824
0813.HK,SHIMAO GROUP,Properties & Construction,HKG,HKD,4.42,16.770673664
0817.HK,CHINA JINMAO,Properties & Construction,HKG,HKD,2.12,26.899193856
0823.HK,LINK REIT,Properties & Construction,HKG,HKD,71.3,150.456549376
0832.HK,CENTRAL CHINA,Properties & Construction,HKG,HKD,0.75,2.223090176
