Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
PTC,PTC,Information Technology,NMS,USD,116.42,13.722657792
PSA,Public Storage,Real Estate,NYQ,USD,330.62,57.975873536
PHM,PulteGroup,Consumer Discretionary,NYQ,USD,44.92,11.373114368
PVH,PVH,Consumer Discretionary,NYQ,USD,71.11,4.976107008
QRVO,Qorvo,Information Technology,NMS,USD,109.59,12.079338496
PWR,Quanta,Industrials,NYQ,USD,119.78,17.068530688
QCOM,Qualcomm,Information Technology,NMS,USD,140.02,156.82240512
DGX,Quest Diagnostics,Health Care,NYQ,USD,138.62,17.005207552
RL,Ralph Lauren,Consumer Discretionary,NYQ,USD,101.19,7.449304576
RJF,Raymond James,Financials,NYQ,USD,97.74,20.150274048
RTX,Raytheon Technologies,Industrials,NYQ,USD,94.81,141.909704704
O,Realty Income,Real Estate,NYQ,USD,68.08,38.517280768
REG,Regency Centers,Real Estate,NMS,USD,67.35,11.531194368
REGN,Regeneron,Health Care,NMS,USD,658.92,70.8622336
RF,Regions,Financials,NYQ,USD,21.61,20.600446976
RSG,Republic Services,Industrials,NYQ,USD,133.97,42.481217536
RMD,ResMed,Health Care,NYQ,USD,202.71,29.53951232
